inspection_id,receipt_id,inspection_date,inspector_name,defect_rate_pct,defect_type,inspection_result,remarks
QI000001,GR000001,2023-01-11,R. Sharma,4.91,Functional,Pass,
QI000002,GR000002,2023-02-01,S. Tanaka,2.92,Other,Pass,
QI000003,GR000003,2023-01-21,M. Weber,6.37,Other,Conditional,Accepted for non-critical applications only.
QI000004,GR000004,2023-01-23,S. Tanaka,2.07,Surface,Pass,
QI000005,GR000005,2023-01-28,T. Yamamoto,4.95,Other,Pass,
QI000006,GR000006,2023-01-14,T. Yamamoto,3.68,Other,Pass,
QI000007,GR000007,2023-01-28,K. Nguyen,6.65,Missing,Conditional,Accepted with minor deviations. Supplier warned.
QI000008,GR000008,2023-02-03,K. Nguyen,20.78,Dimensional,Fail,Quality below acceptable standards. Return to supplier.
QI000009,GR000009,2023-02-07,K. Nguyen,7.12,Dimensional,Conditional,Accepted with minor deviations. Supplier warned.
QI000010,GR000010,2023-02-22,J. Smith,4.08,Missing,Pass,
QI000011,GR000011,2023-02-17,L. Chen,6.32,Other,Conditional,Partial rework needed before use.
QI000012,GR000012,2023-02-24,J. Smith,5.94,Functional,Conditional,Accepted for non-critical applications only.
QI000013,GR000013,2023-02-25,S. Tanaka,7.18,Surface,Conditional,Accepted for non-critical applications only.
QI000014,GR000014,2023-03-03,S. Tanaka,6.88,Missing,Conditional,Partial rework needed before use.
QI000015,GR000015,2023-03-09,K. Nguyen,4.91,Functional,Pass,
QI000016,GR000016,2023-03-15,J. Smith,0.79,,Pass,
QI000017,GR000017,2023-03-10,L. Chen,2.5,Surface,Pass,
QI000018,GR000018,2023-03-16,J. Smith,7.53,Surface,Conditional,Partial rework needed before use.
QI000019,GR000019,2023-03-12,J. Smith,1.04,,Pass,
QI000020,GR000020,2023-03-16,R. Sharma,3.58,Other,Pass,
QI000021,GR000021,2023-03-20,P. Kumar,1.23,,Pass,
QI000022,GR000022,2023-03-17,R. Sharma,7.97,Functional,Conditional,Partial rework needed before use.
QI000023,GR000023,2023-03-19,P. Kumar,6.76,Missing,Conditional,Accepted for non-critical applications only.
QI000024,GR000024,2023-03-27,A. Patel,4.31,Other,Pass,
QI000025,GR000025,2023-03-26,K. Nguyen,18.35,Surface,Fail,Quality below acceptable standards. Return to supplier.
QI000026,GR000026,2023-04-18,R. Sharma,28.01,Dimensional,Fail,Non-conformance report raised. Supplier notified.
