supplier_id,name,category,country,city,contact_email,contact_phone,contract_start,contract_end,payment_terms,baseline_price_index,is_active
SUP001,SteelCraft Industries,Raw Materials,Japan,Tokyo,contact@steelcraftindustries.com,+1-210-343-3218x1960,2022-01-26,2025-08-11,Net30,95.62,1
SUP002,CopperPoint Metals,Raw Materials,Japan,Tokyo,contact@copperpointmetals.com,538.990.8386,2022-03-31,2026-08-11,Net30,82.09,1
SUP003,AlumTech Global,Raw Materials,China,Shenzhen,contact@alumtechglobal.com,001-740-326-5423,2022-01-28,2025-03-10,Net90,125.49,1
SUP004,RubberKing Compounds,Raw Materials,Vietnam,Hanoi,contact@rubberkingcompounds.com,361-855-9407,2022-08-14,2027-02-18,Net90,99.47,1
SUP005,PlastiFlow Materials,Raw Materials,India,Bangalore,contact@plastiflowmaterials.com,584-695-9310,2023-03-09,2027-02-02,Net60,90.88,1
SUP006,CarbonEdge Ltd,Raw Materials,Germany,Munich,contact@carbonedgeltd.com,731-564-7525,2022-04-05,2026-05-22,Net30,105.13,0
SUP007,PackRight Solutions,Packaging,Germany,Hamburg,contact@packrightsolutions.com,+1-241-592-8327x64835,2022-02-14,2026-09-11,Net90,88.74,1
SUP008,WrapMaster Inc,Packaging,USA,New York,contact@wrapmasterinc.com,9568413953,2022-10-28,2026-11-06,Net90,93.46,1
SUP009,BoxWorks International,Packaging,India,Mumbai,contact@boxworksinternational.com,+1-772-542-3884x9696,2022-08-22,2026-04-05,Net30,139.87,1
SUP010,FoamSeal Corp,Packaging,India,Delhi,contact@foamsealcorp.com,(387)810-1226,2022-10-12,2027-04-27,Net90,138.39,1
SUP011,PalletPro Logistics,Packaging,China,Beijing,contact@palletprologistics.com,(897)484-8018x4514,2022-12-30,2026-03-03,Net90,98.69,1
SUP012,StretchGuard Packaging,Packaging,Japan,Tokyo,contact@stretchguardpackaging.com,704.482.8148x932,2022-06-25,2027-06-22,Net90,97.14,1
SUP013,CircuitVault Electronics,Electronics,USA,San Jose,contact@circuitvaultelectronics.com,+1-680-595-7015,2022-10-04,2025-12-26,Net90,102.7,1
SUP014,ChipNova Technologies,Electronics,India,Bangalore,contact@chipnovatechnologies.com,4399117182,2022-02-02,2025-11-09,Net60,98.74,1
SUP015,SensorDynamics GmbH,Electronics,China,Beijing,contact@sensordynamicsgmbh.com,+1-624-889-6383,2022-08-06,2027-05-24,Net60,141.93,1
SUP016,ConnectX Components,Electronics,Japan,Yokohama,contact@connectxcomponents.com,+1-557-287-1331x50983,2022-05-27,2025-11-19,Net30,97.26,1
SUP017,MicroPulse Systems,Electronics,Vietnam,Da Nang,contact@micropulsesystems.com,603-910-5183,2022-09-27,2027-02-20,Net90,107.96,1
SUP018,SiliconBridge Inc,Electronics,China,Shenzhen,contact@siliconbridgeinc.com,582.399.7376,2023-05-21,2025-11-22,Net30,140.28,1
SUP019,SwiftFreight Logistics,Logistics,China,Shenzhen,contact@swiftfreightlogistics.com,865-766-7010,2023-03-09,2025-07-16,Net60,106.71,1
SUP020,WareHouse Pro,Logistics,USA,Houston,contact@warehousepro.com,633-938-7262,2022-01-12,2024-09-02,Net90,141.94,1
SUP021,LastMile Express,Logistics,Germany,Hamburg,contact@lastmileexpress.com,517.481.0801,2022-04-25,2025-12-16,Net60,91.07,1
SUP022,ColdChain Solutions,Logistics,India,Chennai,contact@coldchainsolutions.com,(977)436-0260x64746,2023-05-28,2026-05-27,Net90,143.88,1
SUP023,CrossDock Systems,Logistics,Japan,Nagoya,contact@crossdocksystems.com,243.909.8050,2022-07-23,2025-05-31,Net60,133.38,1
SUP024,CustomsClear Agency,Logistics,Vietnam,Da Nang,contact@customsclearagency.com,582.208.1219x13619,2022-01-01,2025-10-25,Net60,81.36,1
SUP025,SafetyFirst Supplies,MRO,Germany,Hamburg,contact@safetyfirstsupplies.com,+1-816-499-8543x534,2022-09-03,2024-12-29,Net30,141.46,1
SUP026,ToolMaster Hardware,MRO,India,Mumbai,contact@toolmasterhardware.com,+1-647-451-0799x11838,2023-05-13,2025-09-30,Net90,133.61,1
SUP027,LubeWorks Industrial,MRO,China,Guangzhou,contact@lubeworksindustrial.com,(613)354-2784x980,2022-06-19,2025-12-12,Net90,141.07,1
SUP028,SpareMax Components,MRO,USA,Chicago,contact@sparemaxcomponents.com,(541)718-2449,2022-07-25,2026-04-23,Net60,149.66,1
SUP029,FilterTech Solutions,MRO,Japan,Nagoya,contact@filtertechsolutions.com,248.274.0164,2023-03-25,2028-02-16,Net60,88.47,1
SUP030,WeldRight Corp,MRO,China,Shanghai,contact@weldrightcorp.com,724-427-8680x11280,2022-12-13,2025-01-24,Net90,118.77,1
