receipt_id,po_id,supplier_id,supplier_name,received_date,defect_rate_pct,fulfillment_ratio,delivery_delay_days,anomaly_score,is_anomaly
GR000001,PO000001,SUP030,WeldRight Corp,2023-01-10,4.91,0.9476,-3,-0.1464,0
GR000002,PO000002,SUP017,MicroPulse Systems,2023-01-30,2.92,1.0,-1,-0.2594,0
GR000003,PO000003,SUP004,RubberKing Compounds,2023-01-19,6.37,1.0,-2,-0.2571,0
GR000004,PO000004,SUP026,ToolMaster Hardware,2023-01-20,2.07,1.0,0,-0.2445,0
GR000005,PO000005,SUP015,SensorDynamics GmbH,2023-01-27,4.95,1.0,-1,-0.2653,0
GR000006,PO000006,SUP012,StretchGuard Packaging,2023-01-11,3.68,0.8111,-1,-0.0588,0
GR000007,PO000007,SUP011,PalletPro Logistics,2023-01-25,6.65,1.0,0,-0.2585,0
GR000008,PO000008,SUP021,LastMile Express,2023-02-02,20.78,1.0,0,-0.0354,0
GR000009,PO000009,SUP022,ColdChain Solutions,2023-02-05,7.12,1.0,-2,-0.1874,0
GR000010,PO000010,SUP025,SafetyFirst Supplies,2023-02-19,4.08,1.0,4,-0.2071,0
GR000011,PO000011,SUP026,ToolMaster Hardware,2023-02-16,6.32,1.0,0,-0.261,0
GR000012,PO000012,SUP030,WeldRight Corp,2023-02-22,5.94,1.0,-1,-0.2666,0
GR000013,PO000013,SUP005,PlastiFlow Materials,2023-02-24,7.18,1.0,0,-0.2508,0
GR000014,PO000015,SUP012,StretchGuard Packaging,2023-02-28,6.88,1.0,1,-0.2365,0
GR000015,PO000016,SUP012,StretchGuard Packaging,2023-03-07,4.91,1.0,3,-0.2226,0
GR000016,PO000017,SUP003,AlumTech Global,2023-03-13,0.79,1.0,-2,-0.2189,0
GR000017,PO000018,SUP009,BoxWorks International,2023-03-07,2.5,1.0,-1,-0.248,0
GR000018,PO000019,SUP018,SiliconBridge Inc,2023-03-15,7.53,1.0,0,-0.2546,0
GR000019,PO000020,SUP022,ColdChain Solutions,2023-03-10,1.04,1.0,3,-0.1196,0
GR000020,PO000021,SUP022,ColdChain Solutions,2023-03-14,3.58,1.0,5,-0.1136,0
GR000021,PO000022,SUP023,CrossDock Systems,2023-03-18,1.23,1.0,5,-0.0982,0
GR000022,PO000023,SUP028,SpareMax Components,2023-03-14,7.97,1.0,-1,-0.2533,0
GR000023,PO000024,SUP020,WareHouse Pro,2023-03-16,6.76,1.0,3,-0.1495,0
GR000024,PO000025,SUP025,SafetyFirst Supplies,2023-03-24,4.31,1.0,-1,-0.2672,0
GR000025,PO000026,SUP021,LastMile Express,2023-03-23,18.35,1.0,-2,-0.017,0
GR000026,PO000027,SUP021,LastMile Express,2023-04-17,28.01,1.0,16,0.0685,1
GR000027,PO000028,SUP016,ConnectX Components,2023-04-17,7.01,1.0,-1,-0.2627,0
GR000028,PO000029,SUP004,RubberKing Compounds,2023-04-13,3.33,0.8769,-3,-0.0725,0
GR000029,PO000030,SUP001,SteelCraft Industries,2023-04-18,1.22,1.0,-3,-0.2127,0
GR000030,PO000031,SUP012,StretchGuard Packaging,2023-04-05,5.65,0.8269,-2,-0.0592,0
GR000031,PO000032,SUP025,SafetyFirst Supplies,2023-04-14,4.51,1.0,-2,-0.2614,0
GR000032,PO000033,SUP019,SwiftFreight Logistics,2023-04-18,1.31,1.0,-1,-0.1601,0
GR000033,PO000034,SUP024,CustomsClear Agency,2023-04-15,3.86,1.0,-3,-0.0505,0
GR000034,PO000035,SUP017,MicroPulse Systems,2023-05-06,3.45,0.8494,-2,-0.0769,0
GR000035,PO000036,SUP022,ColdChain Solutions,2023-04-24,1.6,1.0,-2,-0.1639,0
GR000036,PO000037,SUP010,FoamSeal Corp,2023-04-24,9.52,1.0,-3,-0.1689,0
GR000037,PO000038,SUP007,PackRight Solutions,2023-05-03,25.09,0.7903,7,0.0156,1
GR000038,PO000039,SUP001,SteelCraft Industries,2023-05-04,0.97,1.0,0,-0.2295,0
GR000039,PO000040,SUP030,WeldRight Corp,2023-04-26,5.77,1.0,-3,-0.2339,0
GR000040,PO000041,SUP029,FilterTech Solutions,2023-05-10,3.01,1.0,7,-0.1556,0
GR000041,PO000042,SUP027,LubeWorks Industrial,2023-05-04,2.58,1.0,0,-0.2501,0
GR000042,PO000043,SUP009,BoxWorks International,2023-05-04,3.06,1.0,3,-0.1991,0
GR000043,PO000044,SUP015,SensorDynamics GmbH,2023-05-23,3.49,1.0,0,-0.26,0
GR000044,PO000045,SUP027,LubeWorks Industrial,2023-05-08,5.42,1.0,0,-0.2644,0
GR000045,PO000046,SUP018,SiliconBridge Inc,2023-06-06,4.98,1.0,8,-0.1663,0
GR000046,PO000047,SUP002,CopperPoint Metals,2023-05-20,5.77,1.0,-1,-0.2514,0
GR000047,PO000048,SUP021,LastMile Express,2023-05-27,26.92,0.8964,7,0.0875,1
GR000048,PO000049,SUP009,BoxWorks International,2023-05-20,2.83,1.0,0,-0.2462,0
GR000049,PO000050,SUP008,WrapMaster Inc,2023-05-23,4.27,1.0,-1,-0.2615,0
GR000050,PO000051,SUP014,ChipNova Technologies,2023-06-26,25.06,1.0,15,-0.0093,0
GR000051,PO000052,SUP006,CarbonEdge Ltd,2023-06-03,1.06,1.0,-2,-0.2222,0
GR000052,PO000053,SUP003,AlumTech Global,2023-06-08,1.33,1.0,-1,-0.2399,0
GR000053,PO000054,SUP024,CustomsClear Agency,2023-05-30,3.14,0.8014,-3,0.0696,1
GR000054,PO000055,SUP015,SensorDynamics GmbH,2023-06-08,4.07,1.0,-1,-0.2632,0
GR000055,PO000056,SUP007,PackRight Solutions,2023-06-11,23.22,0.831,4,-0.0097,0
GR000056,PO000057,SUP017,MicroPulse Systems,2023-06-09,5.21,1.0,-3,-0.2391,0
GR000057,PO000058,SUP022,ColdChain Solutions,2023-06-09,7.14,1.0,5,-0.1205,0
GR000058,PO000059,SUP027,LubeWorks Industrial,2023-06-08,7.68,1.0,0,-0.246,0
GR000059,PO000060,SUP023,CrossDock Systems,2023-06-11,7.46,1.0,0,-0.1245,0
GR000060,PO000061,SUP006,CarbonEdge Ltd,2023-06-25,1.91,1.0,2,-0.211,0
GR000061,PO000062,SUP017,MicroPulse Systems,2023-06-25,3.16,1.0,-3,-0.2285,0
GR000062,PO000063,SUP006,CarbonEdge Ltd,2023-06-25,4.22,1.0,-3,-0.2412,0
GR000063,PO000064,SUP012,StretchGuard Packaging,2023-06-16,3.11,1.0,-1,-0.2566,0
GR000064,PO000065,SUP019,SwiftFreight Logistics,2023-06-18,4.06,1.0,-1,-0.1865,0
GR000065,PO000066,SUP015,SensorDynamics GmbH,2023-07-01,6.92,1.0,-2,-0.2553,0
GR000066,PO000067,SUP010,FoamSeal Corp,2023-07-01,9.51,1.0,7,-0.1353,0
GR000067,PO000068,SUP010,FoamSeal Corp,2023-07-02,10.21,1.0,-3,-0.1526,0
GR000068,PO000069,SUP018,SiliconBridge Inc,2023-07-13,1.67,1.0,0,-0.2407,0
GR000069,PO000070,SUP001,SteelCraft Industries,2023-07-20,0.35,1.0,0,-0.1931,0
GR000070,PO000071,SUP027,LubeWorks Industrial,2023-07-11,6.11,0.8326,0,-0.0745,0
GR000071,PO000072,SUP022,ColdChain Solutions,2023-07-13,4.42,1.0,-3,-0.166,0
GR000072,PO000073,SUP013,CircuitVault Electronics,2023-07-28,5.26,1.0,-2,-0.2592,0
GR000073,PO000074,SUP020,WareHouse Pro,2023-07-18,1.01,1.0,-1,-0.1566,0
GR000074,PO000075,SUP017,MicroPulse Systems,2023-08-05,5.52,1.0,-2,-0.2591,0
GR000075,PO000076,SUP001,SteelCraft Industries,2023-08-05,0.93,1.0,1,-0.1951,0
GR000076,PO000077,SUP018,SiliconBridge Inc,2023-08-16,3.98,1.0,4,-0.209,0
GR000077,PO000078,SUP010,FoamSeal Corp,2023-07-31,9.93,1.0,-1,-0.2037,0
GR000078,PO000079,SUP026,ToolMaster Hardware,2023-08-02,3.79,1.0,3,-0.2141,0
GR000079,PO000080,SUP008,WrapMaster Inc,2023-08-01,3.42,1.0,-2,-0.2558,0
GR000080,PO000081,SUP015,SensorDynamics GmbH,2023-08-16,1.09,1.0,-2,-0.2331,0
GR000081,PO000083,SUP014,ChipNova Technologies,2023-08-08,22.61,1.0,-1,-0.0891,0
GR000082,PO000084,SUP014,ChipNova Technologies,2023-09-01,18.65,1.0,6,-0.0887,0
GR000083,PO000085,SUP004,RubberKing Compounds,2023-08-09,7.36,1.0,-3,-0.2336,0
GR000084,PO000086,SUP020,WareHouse Pro,2023-08-10,7.8,1.0,-2,-0.1474,0
