comm_id,supplier_id,comm_date,channel,subject,priority,response_time_hours,resolved
CM000001,SUP020,2023-09-07,Email,Feedback on Last Shipment,High,10.1,Yes
CM000002,SUP001,2025-06-05,Email,Delivery Status Update,High,2.0,Yes
CM000003,SUP027,2024-02-09,Call,Compliance Audit Follow-up,Normal,35.0,Yes
CM000004,SUP002,2025-06-25,Email,Price Renegotiation,Critical,34.5,Yes
CM000005,SUP007,2023-09-11,Email,Price Renegotiation,High,74.2,Yes
CM000006,SUP010,2025-04-24,Call,Shipment Delay Notification,Normal,10.0,Yes
CM000007,SUP001,2024-05-30,Email,Delivery Status Update,Low,3.6,Yes
CM000008,SUP027,2025-05-30,Meeting,Compliance Audit Follow-up,Normal,,No
CM000009,SUP022,2023-06-30,Meeting,Feedback on Last Shipment,Normal,14.5,Yes
CM000010,SUP009,2024-10-15,Meeting,SLA Review Meeting,Normal,20.6,Yes
CM000011,SUP024,2024-01-25,Email,Compliance Audit Follow-up,Normal,26.7,Yes
CM000012,SUP028,2025-04-05,Portal,SLA Review Meeting,Normal,23.7,Yes
CM000013,SUP028,2023-10-13,Email,Emergency Supply Request,Normal,5.7,Yes
CM000014,SUP022,2023-12-20,Portal,Contract Renewal Discussion,Low,7.4,Yes
CM000015,SUP001,2025-10-15,Email,Emergency Supply Request,Normal,3.0,Yes
CM000016,SUP014,2025-06-10,Email,Payment Terms Discussion,Low,,No
CM000017,SUP011,2025-09-03,Email,Material Specification Change,Critical,8.9,Yes
CM000018,SUP010,2023-11-21,Email,Shipment Delay Notification,High,6.3,Yes
CM000019,SUP010,2024-11-29,Meeting,Capacity Planning,High,16.6,Yes
CM000020,SUP001,2025-07-04,Email,Invoice Discrepancy,High,,No
CM000021,SUP029,2024-10-02,Portal,SLA Review Meeting,High,18.7,Yes
CM000022,SUP007,2023-09-18,Meeting,Urgent Stock Request,Critical,74.0,Yes
CM000023,SUP016,2026-02-27,Email,Material Specification Change,High,7.2,Yes
CM000024,SUP017,2025-10-02,Portal,Compliance Audit Follow-up,Normal,37.3,Yes
CM000025,SUP009,2023-10-21,Meeting,SLA Review Meeting,Normal,19.2,Yes
CM000026,SUP016,2026-02-24,Email,Invoice Discrepancy,Normal,22.6,Yes
CM000027,SUP026,2024-01-21,Call,Quality Concern,Normal,33.1,Yes
CM000028,SUP017,2024-08-01,Email,Compliance Audit Follow-up,High,8.0,Yes
CM000029,SUP001,2023-03-01,Meeting,Quality Concern,Normal,3.8,Yes
CM000030,SUP013,2026-02-11,Email,Invoice Discrepancy,Low,15.5,Yes
CM000031,SUP015,2024-08-06,Email,Delivery Status Update,Low,,No
CM000032,SUP018,2025-09-04,Email,Compliance Audit Follow-up,Normal,14.7,Yes
CM000033,SUP006,2024-10-30,Meeting,Payment Terms Discussion,Normal,30.7,Yes
CM000034,SUP002,2023-09-28,Portal,Price Renegotiation,Normal,25.1,Yes
CM000035,SUP025,2025-01-07,Email,New Order Requirements,Normal,9.5,Yes
CM000036,SUP014,2025-03-21,Call,Quality Concern,High,109.4,Yes
CM000037,SUP008,2023-04-26,Call,Delivery Status Update,Normal,10.5,Yes
CM000038,SUP025,2024-04-21,Portal,Price Renegotiation,Normal,33.0,Yes
CM000039,SUP001,2025-11-10,Call,Payment Terms Discussion,High,0.8,Yes
CM000040,SUP002,2024-03-03,Call,Invoice Discrepancy,High,22.1,Yes
CM000041,SUP006,2025-03-24,Call,Feedback on Last Shipment,Normal,10.9,Yes
CM000042,SUP013,2023-11-24,Meeting,Shipment Delay Notification,Normal,7.6,Yes
CM000043,SUP010,2025-07-13,Email,Urgent Stock Request,Critical,14.3,Yes
CM000044,SUP004,2023-03-27,Email,Feedback on Last Shipment,High,27.7,Yes
CM000045,SUP027,2024-03-14,Meeting,Invoice Discrepancy,Normal,15.8,Yes
CM000046,SUP027,2024-05-31,Email,Delivery Status Update,Normal,14.7,Yes
CM000047,SUP024,2025-03-06,Call,New Order Requirements,Normal,20.9,Yes
CM000048,SUP010,2024-05-23,Email,Quality Concern,High,,No
CM000049,SUP020,2023-04-13,Portal,Feedback on Last Shipment,Low,39.9,Yes
CM000050,SUP004,2023-04-20,Call,New Order Requirements,High,15.0,Yes
CM000051,SUP010,2023-03-13,Portal,Shipment Delay Notification,Low,34.0,Yes
CM000052,SUP030,2024-02-24,Call,Payment Terms Discussion,High,,No
CM000053,SUP030,2025-09-02,Email,Compliance Audit Follow-up,Normal,,No
CM000054,SUP019,2026-02-15,Email,Urgent Stock Request,Normal,5.0,Yes
CM000055,SUP022,2025-02-11,Call,Emergency Supply Request,Normal,6.2,Yes
CM000056,SUP022,2023-05-10,Portal,Compliance Audit Follow-up,Normal,15.6,Yes
